sweep,value,cfg_key,dataset,log,f1,lag,n_detections,n_boundaries
,,B100_s1_xi0.07_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.1_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.01_start_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,99.0,1,9
,,B100_s1_xi0.01_mid_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,50.0,1,9
,,B100_s1_xi0.01_adaptive_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,99.0,1,9
,,B100_s1_xi0.01_refine_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,59.0,1,9
,,B100_s2_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,0.666667,100.0,2,7
,,B100_s3_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,0.666667,100.0,2,5
,,B100_s4_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,0.0,1,3
,,B100_s5_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,100.0,1,1
,,B25_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,0.666667,25.0,2,39
,,B50_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,0.0,1,19
,,B150_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,100.0,1,6
,,B200_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,100.0,1,4
,,B300_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_IRO.xes.gz,1.0,100.0,1,3
,,B100_s1_xi0.0_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.005_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.02_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.03_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.05_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.07_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.1_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.01_start_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,99.0,1,9
,,B100_s1_xi0.01_mid_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,50.0,1,9
,,B100_s1_xi0.01_adaptive_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.01_refine_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,59.0,1,9
,,B100_s2_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,0.666667,100.0,2,7
,,B100_s3_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,0.666667,100.0,2,5
,,B100_s4_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,3
,,B100_s5_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,100.0,1,1
,,B25_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,50.0,1,39
,,B50_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,0.0,1,19
,,B150_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,100.0,1,6
,,B200_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,100.0,1,4
,,B300_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_OIR.xes.gz,1.0,100.0,1,3
,,B100_s1_xi0.0_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.005_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.02_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.03_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.05_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,0.0,1,9
,,B100_s1_xi0.07_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,0.0,,0,9
,,B100_s1_xi0.1_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,0.0,,0,9
,,B100_s1_xi0.01_start_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,99.0,1,9
,,B100_s1_xi0.01_mid_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,50.0,1,9
,,B100_s1_xi0.01_adaptive_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,99.0,1,9
,,B100_s1_xi0.01_refine_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,81.0,1,9
,,B100_s2_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,0.666667,100.0,2,7
,,B100_s3_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,0.666667,100.0,2,5
,,B100_s4_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,0.0,1,3
,,B100_s5_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,100.0,1,1
,,B25_s1_xi0.01_end_K0.999,Ceravolo,sudden_trace_noise0_1000_RIO.xes.gz,1.0,50.0,1,39
